"student_id","program_id","cohort_year","age","gender","first_gen","year_in_prog","funding","social_support","advisor_quality","hours_worked","imp1","imp2","imp3","imp4","imp5","stress1","stress2","stress3","stress4","stress5","wellbeing","counseling"
1,"prog_2","cohort_2",28,"woman",0,4,"fellowship",5.1,1.2,61,3,4,4,4,3,4,4,4,4,3,45.5,1
2,"prog_5","cohort_1",23,"man",1,4,"TA",5.5,5.2,71,4,4,4,3,5,4,4,3,4,4,14.4,1
3,"prog_5","cohort_1",28,"woman",0,1,"unfunded",4.8,4.7,60,3,3,3,2,2,5,5,5,5,5,46.4,0
4,"prog_4","cohort_2",26,"woman",1,5,"TA",6.2,4.8,48,3,4,3,3,3,1,2,3,2,3,71.7,1
5,"prog_1","cohort_2",28,"woman",0,1,"RA",5,5.2,75,4,4,3,4,4,1,2,1,2,2,42.3,0
6,"prog_5","cohort_1",25,"woman",1,1,"unfunded",2.7,6.8,55,2,3,3,3,3,3,4,4,3,5,46.4,1
7,"prog_1","cohort_2",25,"man",0,2,"RA",5.9,4.3,58,4,3,3,4,4,2,2,2,2,2,34.6,1
8,"prog_2","cohort_3",24,"nonbinary",0,2,"RA",4.9,1.8,48,3,4,3,4,4,4,3,4,4,3,40.8,0
9,"prog_2","cohort_3",25,"man",0,2,"RA",5.8,6,41,2,4,3,3,3,3,3,3,3,3,55.8,1
10,"prog_5","cohort_1",27,"nonbinary",1,1,"TA",4.2,4.4,60,3,2,3,2,3,3,3,2,3,3,27.4,0
11,"prog_3","cohort_3",27,"woman",1,1,"TA",6.9,5.9,49,2,3,2,2,2,4,4,4,4,4,74.4,1
12,"prog_5","cohort_3",24,"woman",0,4,"RA",1.8,5,60,3,3,2,2,2,3,5,5,4,4,23.5,1
13,"prog_6","cohort_3",25,"man",1,4,"RA",6.3,4.3,57,2,3,2,3,3,3,3,4,3,4,48.2,0
14,"prog_4","cohort_1",27,"woman",0,3,"TA",5.4,7.1,42,3,4,4,3,3,3,3,3,4,3,68.7,1
15,"prog_6","cohort_2",27,"woman",1,5,"TA",2,3.1,75,3,3,3,4,4,3,3,4,4,3,22.5,1
16,"prog_2","cohort_2",27,"man",0,2,"fellowship",4.7,6,40,2,2,3,3,2,3,2,3,3,3,49.6,0
17,"prog_2","cohort_1",26,"man",0,2,"RA",6.2,6,54,3,3,3,3,4,3,2,2,3,2,45.6,1
18,"prog_4","cohort_3",27,"woman",1,1,"TA",6.3,5.7,70,2,2,1,2,3,1,1,3,3,2,68.4,1
19,"prog_2","cohort_1",25,"man",0,4,"RA",4.2,5.9,42,3,3,3,3,3,4,4,4,4,3,53.4,0
20,"prog_2","cohort_1",25,"woman",0,2,"unfunded",7,3.3,56,4,4,4,4,4,2,2,1,1,2,54.9,1
21,"prog_5","cohort_1",25,"woman",0,1,"TA",6.1,6.6,56,4,5,3,4,4,4,3,2,3,3,50.4,1
22,"prog_1","cohort_2",24,"woman",0,2,"RA",4.2,6.2,43,2,2,3,4,3,3,3,3,4,3,53.1,1
23,"prog_3","cohort_3",28,"man",0,4,"RA",6,3.3,60,4,4,3,3,3,3,3,3,4,3,43.9,1
24,"prog_3","cohort_3",25,"woman",0,1,"TA",3.9,3.1,68,4,5,5,4,5,4,3,4,4,3,32.6,0
25,"prog_1","cohort_1",25,"woman",0,2,"RA",4.8,5.5,50,1,2,1,2,1,1,2,1,2,1,78.7,0
26,"prog_6","cohort_1",27,"woman",1,1,"RA",4.5,3,61,4,3,4,3,4,2,3,3,3,3,46.4,1
27,"prog_1","cohort_3",28,"woman",0,5,"unfunded",5.3,5.8,44,3,3,4,3,3,4,4,3,4,4,58,1
28,"prog_4","cohort_2",26,"woman",0,1,"RA",5.6,5.9,49,5,4,3,4,5,3,4,3,3,3,54.2,1
29,"prog_4","cohort_2",30,"woman",0,1,"unfunded",3.4,5.2,61,2,3,4,4,4,2,4,5,3,3,50,0
30,"prog_4","cohort_2",28,"man",0,3,"RA",6.6,4.9,58,2,3,3,4,4,5,4,3,4,5,59.9,1
31,"prog_4","cohort_3",26,"man",0,2,"RA",3.5,3.3,47,4,4,4,3,4,1,1,1,1,2,37.9,0
32,"prog_3","cohort_1",28,"man",0,2,"TA",5.3,5.9,49,3,3,4,3,2,3,4,4,4,3,54.3,0
33,"prog_2","cohort_1",23,"woman",0,4,"TA",7.8,4,71,3,3,4,4,5,2,3,2,4,2,54.4,1
34,"prog_4","cohort_3",26,"woman",0,4,"RA",4.5,5.8,65,3,1,2,2,3,1,2,1,2,2,67.1,0
35,"prog_4","cohort_3",28,"woman",1,1,"unfunded",5.5,3.9,49,4,4,4,4,3,2,2,3,2,2,55.3,1
36,"prog_1","cohort_3",27,"woman",0,4,"fellowship",3.8,5.7,50,5,5,4,4,5,4,4,4,4,4,50.9,1
37,"prog_4","cohort_2",30,"man",0,3,"TA",5.8,5.5,75,4,3,3,4,4,3,4,3,3,4,42.4,1
38,"prog_2","cohort_1",30,"woman",0,1,"RA",4.8,4.5,44,3,3,3,3,3,2,3,2,3,3,40.7,0
39,"prog_4","cohort_2",26,"woman",0,6,"RA",7.6,1.9,46,3,4,3,3,4,4,4,4,4,3,60.5,0
40,"prog_4","cohort_3",28,"man",0,2,"RA",5.1,8.4,62,2,3,2,4,2,4,3,3,3,3,57.5,0
41,"prog_4","cohort_2",26,"woman",0,4,"fellowship",5.7,6.5,41,3,4,4,3,4,3,3,3,3,3,67,0
42,"prog_1","cohort_3",26,"nonbinary",0,1,"TA",4.9,6.5,48,4,4,4,3,4,3,4,3,3,4,44.5,0
43,"prog_5","cohort_3",32,"woman",0,3,"TA",2.1,5.2,65,4,4,5,4,3,2,2,2,3,3,31.9,1
44,"prog_4","cohort_2",25,"woman",0,1,"RA",6.5,2.2,58,3,2,3,3,4,2,3,2,1,2,61.8,0
45,"prog_3","cohort_3",28,"man",0,2,"TA",3.4,4.9,67,3,3,3,4,3,1,1,1,1,1,44.6,0
46,"prog_1","cohort_1",26,"woman",1,4,"TA",3.8,2.8,56,1,2,2,1,1,3,5,4,4,5,36.2,1
47,"prog_2","cohort_3",28,"woman",1,2,"unfunded",8.4,4.9,46,4,3,3,4,3,4,4,5,5,5,57.9,1
48,"prog_1","cohort_3",30,"nonbinary",0,1,"RA",5.4,5.8,67,4,3,3,3,3,3,3,3,3,3,43.8,1
49,"prog_1","cohort_3",28,"woman",1,3,"RA",5.9,3.8,50,4,4,3,4,4,4,3,4,4,4,45,1
50,"prog_1","cohort_3",27,"man",0,1,"fellowship",4.1,4.2,58,3,4,3,4,3,5,5,5,5,5,19.8,1
51,"prog_6","cohort_2",29,"man",0,1,"TA",3.7,5.7,48,2,3,2,2,2,5,5,4,5,4,31.7,1
52,"prog_2","cohort_2",27,"man",0,3,"fellowship",3.2,5.5,64,4,3,4,3,3,2,2,2,2,2,40,1
53,"prog_1","cohort_1",27,"man",0,4,"TA",3.3,6.3,58,3,2,2,2,3,4,3,3,3,3,40.5,0
54,"prog_3","cohort_3",31,"man",1,2,"unfunded",4.3,6,55,4,4,5,4,4,5,4,4,5,4,34,1
55,"prog_1","cohort_2",25,"woman",0,3,"RA",6.1,3.6,72,5,4,4,4,4,3,3,4,4,3,48.3,0
56,"prog_1","cohort_2",26,"woman",1,2,"fellowship",6.7,5.5,69,2,3,2,2,3,5,5,5,5,5,56.7,0
57,"prog_6","cohort_2",28,"woman",0,2,"TA",4.5,4.1,54,4,3,3,3,4,2,4,3,3,3,43.9,1
58,"prog_4","cohort_2",27,"woman",0,1,"TA",4.4,3.6,56,4,2,4,2,3,4,4,5,5,5,44,0
59,"prog_1","cohort_2",27,"woman",0,6,"RA",4.2,2.1,63,2,2,2,2,2,4,3,5,5,5,42.9,0
60,"prog_5","cohort_3",29,"woman",0,2,"fellowship",3.9,5.2,51,2,2,3,3,2,5,5,5,5,4,34.6,0
61,"prog_3","cohort_1",28,"woman",0,3,"TA",6.2,7.5,73,3,2,3,2,2,4,4,4,4,4,62.7,1
