SUBID,CONDITION,HAPPINESS
1,1,1.857142857
2,1,1
3,1,3.285714286
4,1,2
5,1,2.428571429
6,1,3.285714286
7,2,1.166666667
8,2,2.428571429
9,2,3
10,1,1.714285714
11,1,3.857142857
12,2,2.571428571
13,2,2.857142857
14,2,3.571428571
15,2,4
16,2,3
17,2,1.714285714
18,2,1.285714286
19,2,2.285714286
20,1,1.857142857
21,1,1.428571429
22,1,1.571428571
23,1,2.142857143
24,1,2.285714286
25,1,1.714285714
26,2,3.714285714
27,2,2
28,2,2.571428571
29,2,2.857142857
30,2,3.428571429
31,2,1.571428571
32,2,2.714285714
33,2,2.142857143
34,2,3.428571429
35,2,1.714285714
36,2,1.571428571
37,2,1.571428571
38,1,2.285714286
39,1,1.571428571
40,1,1.571428571
41,1,2.285714286
42,2,3.285714286
43,1,1.571428571
44,2,2.142857143
45,2,3.285714286
46,1,2.285714286
47,2,1.857142857
48,2,3.285714286
49,2,4
50,2,2.4
51,2,2.4
52,2,1.1
53,1,3.3
54,1,2.2
55,1,3
56,1,4
57,2,3.142857143
58,1,2.666666667
59,1,1.571428571
60,1,1.857142857
61,1,1.285714286
62,1,3.142857143
63,2,2.428571429
64,1,1
65,1,2.428571429
66,1,1.714285714
67,1,2
68,2,2.571428571
69,1,2.714285714
70,1,3.428571429
71,2,3.571428571
72,1,3
73,1,4.428571429
74,2,2
75,2,1
76,1,2
77,1,3.857142857
78,1,1.142857143
79,1,2.571428571
80,1,3.142857143
81,1,1.142857143
82,1,1.571428571
83,1,3.142857143
84,2,3.5
85,1,1.571428571
86,1,3.142857143
87,1, 
88,2,3.428571429
89,1,3.571428571
90,2,1.285714286
91,2,1.571428571
92,2,2.428571429
93,2,3.142857143
94,1,3.857142857
95,1,1.142857143
96,2,2
97,1,1.857142857
98,1,1.857142857
99,1,4.142857143
100,2,3.571428571
101,1,1
102,1,2.285714286
103,1,1.142857143
104,1,3.142857143
105,1,2.142857143
106,1,1.571428571
107,1,1.285714286
108,1,3.285714286
109,1,1.285714286
110,1,2
111,1,1.142857143
112,1,2.285714286
113,2,2.714285714
114,2,3
115,2,2.857142857
116,2,3
117,2,3.857142857
118,2,3.428571429
119,2,3.428571429
120,2,2.571428571
121,2,3.857142857
122,2,3
123,2,3.142857143
124,2,3.428571429
125,2,2
126,2,2.857142857
127,1,2.714285714
128,2,3.571428571
129,2,2.428571429
130,2,3
131,2,1.857142857
132,1,3.142857143
133,1,2.142857143
134,1,3.714285714
135,1,2.428571429
136,1,1.285714286
137,2,1.571428571
138,1,1.142857143
139,1,1.571428571
140,1,2
141,1,2.428571429
142,1,1
143,1,3.428571429
144,1,1.428571429
145,1,2
146,1,2
147,1,2.285714286
148,1,3.285714286
149,1,2.142857143
150,1,1.666666667
151,1,1.857142857
152,1,3.428571429
153,1,4.714285714
154,1,1.142857143
155,1,2.571428571
156,1,3
157,2,3.571428571
158,2,1.142857143
159,2,3.571428571
160,2,1.285714286
161,2,2.428571429
162,2,2.714285714
163,1,1.857142857
164,2,3
165,1,2.571428571
166,1,1.285714286
167,1,1.714285714
168,1,1.857142857
169,2,3
170,1,1.142857143
171,1,2.857142857
172,1,2
173,1,3.285714286
174,1,2.285714286
175,1,1.571428571
176,1,1.5
177,1,2.428571429
178,1,1.714285714
179,2,3.142857143
180,2,1.714285714
181,1,1.571428571
182,1,2.857142857
183,1,2.571428571
184,2,3.142857143
185,2,3.571428571
186,2,2.285714286
187,1,2.142857143
188,1,1.428571429
189,1,2.142857143
190,1,2.142857143
191,1,2.428571429
192,2,1.285714286
193,1,1.571428571
194,1,1.571428571
195,1,1.142857143
196,1,1
197,1,2.166666667
198,2,1.714285714
199,1,1.428571429
200,1,2.857142857
201,1,1.571428571
202,2,4
203,1,1.285714286
204,1,2.428571429
205,2,2.285714286
206,1,1.428571429
207,1,2.571428571
208,1,1.285714286
209,1,1.857142857
210,2,2.571428571
211,1,2.571428571
212,1,2.428571429
213,1,2.857142857
214,1,1.428571429
215,1,1.571428571
216,1,1.714285714
217,1,2.428571429
218,1,2.428571429
219,1,2.571428571
220,1,1.428571429
221,1,1.857142857
222,2,3.285714286
223,2,1.142857143
224,1,1.571428571
225,1,3.142857143
226,1,1.857142857
227,1,2.285714286
228,1,2.142857143
229,1,3.428571429
230,1,2
231,2,1.571428571
232,1,3
233,1,1.285714286
234,1,2.142857143
235,1,2.571428571
236,2,3.285714286
237,1,1.428571429
238,1,2.285714286
239,2,1.857142857
240,1,3
241,1,1.571428571
242,1,2.142857143
243,2,4.142857143
244,1,2.714285714
245,1,2.714285714
246,1,1.857142857
247,1,1.714285714
248,1,1.714285714
249,2,1.714285714
250,2,1.65
