ID,Therapy,Sleep,Anxiety_Score
1,CBT,Rested,38
2,CBT,Rested,42
3,CBT,Rested,36
4,CBT,Rested,41
5,CBT,Rested,39
6,CBT,Rested,37
7,CBT,Rested,40
8,CBT,Rested,43
9,CBT,Rested,35
10,CBT,Rested,39
11,CBT,Rested,44
12,CBT,Rested,41
13,CBT,Rested,37
14,CBT,Rested,38
15,CBT,Rested,42
16,CBT,Rested,40
17,CBT,Rested,36
18,CBT,Rested,39
19,CBT,Rested,41
20,CBT,Rested,37
21,CBT,Rested,38
22,CBT,Rested,43
23,CBT,Rested,35
24,CBT,Rested,40
25,CBT,Rested,39
26,CBT,Sleep_Deprived,54
27,CBT,Sleep_Deprived,56
28,CBT,Sleep_Deprived,52
29,CBT,Sleep_Deprived,55
30,CBT,Sleep_Deprived,57
31,CBT,Sleep_Deprived,53
32,CBT,Sleep_Deprived,54
33,CBT,Sleep_Deprived,58
34,CBT,Sleep_Deprived,51
35,CBT,Sleep_Deprived,55
36,CBT,Sleep_Deprived,56
37,CBT,Sleep_Deprived,53
38,CBT,Sleep_Deprived,54
39,CBT,Sleep_Deprived,57
40,CBT,Sleep_Deprived,52
41,CBT,Sleep_Deprived,55
42,CBT,Sleep_Deprived,53
43,CBT,Sleep_Deprived,56
44,CBT,Sleep_Deprived,54
45,CBT,Sleep_Deprived,57
46,CBT,Sleep_Deprived,52
47,CBT,Sleep_Deprived,55
48,CBT,Sleep_Deprived,53
49,CBT,Sleep_Deprived,56
50,CBT,Sleep_Deprived,54
51,Mindfulness,Rested,42
52,Mindfulness,Rested,45
53,Mindfulness,Rested,43
54,Mindfulness,Rested,47
55,Mindfulness,Rested,44
56,Mindfulness,Rested,46
57,Mindfulness,Rested,41
58,Mindfulness,Rested,45
59,Mindfulness,Rested,43
60,Mindfulness,Rested,44
61,Mindfulness,Rested,46
62,Mindfulness,Rested,42
63,Mindfulness,Rested,47
64,Mindfulness,Rested,43
65,Mindfulness,Rested,45
66,Mindfulness,Rested,44
67,Mindfulness,Rested,41
68,Mindfulness,Rested,46
69,Mindfulness,Rested,43
70,Mindfulness,Rested,45
71,Mindfulness,Rested,42
72,Mindfulness,Rested,44
73,Mindfulness,Rested,47
74,Mindfulness,Rested,43
75,Mindfulness,Rested,46
76,Mindfulness,Sleep_Deprived,60
77,Mindfulness,Sleep_Deprived,63
78,Mindfulness,Sleep_Deprived,61
79,Mindfulness,Sleep_Deprived,65
80,Mindfulness,Sleep_Deprived,62
81,Mindfulness,Sleep_Deprived,64
82,Mindfulness,Sleep_Deprived,59
83,Mindfulness,Sleep_Deprived,63
84,Mindfulness,Sleep_Deprived,61
85,Mindfulness,Sleep_Deprived,62
86,Mindfulness,Sleep_Deprived,64
87,Mindfulness,Sleep_Deprived,60
88,Mindfulness,Sleep_Deprived,65
89,Mindfulness,Sleep_Deprived,61
90,Mindfulness,Sleep_Deprived,63
91,Mindfulness,Sleep_Deprived,62
92,Mindfulness,Sleep_Deprived,59
93,Mindfulness,Sleep_Deprived,64
94,Mindfulness,Sleep_Deprived,61
95,Mindfulness,Sleep_Deprived,63
96,Mindfulness,Sleep_Deprived,60
97,Mindfulness,Sleep_Deprived,62
98,Mindfulness,Sleep_Deprived,65
99,Mindfulness,Sleep_Deprived,61
100,Mindfulness,Sleep_Deprived,64
