ID,posemo,extraversion,obs
Shelly,10,6.666666667,1
Shelly,10,7,2
Shelly,10,7.666666667,3
Shelly,10,8.333333333,4
Shelly,6,3.333333333,5
Shelly,8,6.333333333,6
Shelly,8,5,7
Shelly,5,5,8
Shelly,6,5,9
Shelly,5,5.333333333,10
Shelly,NA,NA,11
Shelly,5,5,12
Shelly,7,5,13
Shelly,5,5,14
Shelly,5,5,15
Shelly,9,6.333333333,16
Shelly,6,4.333333333,17
Shelly,6,5.666666667,18
Shelly,7,6.666666667,19
Shelly,6,4,20
Shelly,3,6.666666667,21
Shelly,7,4.666666667,22
Shelly,NA,NA,23
Shelly,5,4,24
Shelly,7,5,25
Shelly,7,4.666666667,26
Shelly,6,6,27
Shelly,7,4.666666667,28
Shelly,6,5.333333333,29
Shelly,7,3,30
Shelly,9,5.333333333,31
Shelly,7,5,32
Shelly,3,5.666666667,33
Shelly,5,4,34
Shelly,7,5,35
Shelly,NA,NA,36
Shelly,8,4.333333333,37
Shelly,9,6,38
Shelly,8,6.333333333,39
Shelly,8,3.666666667,40
Shelly,10,4.666666667,41
Shelly,6,4,42
Shelly,8,6,43
Shelly,8,6,44
Shelly,9,2.666666667,45
Shelly,6,2.666666667,46
Shelly,10,4,47
Shelly,9,3,48
Ben,5,2.333333333,1
Ben,3,2.666666667,2
Shelly,9,2.666666667,49
Ben,5,5.333333333,3
Shelly,10,4.333333333,50
Ben,5,2,4
Shelly,8,4.666666667,51
Shelly,10,4.333333333,52
Ben,5,3.666666667,5
Ben,5,2,6
Shelly,8,4.666666667,53
Shelly,7,6,54
Ben,3,5,7
Shelly,9,6,55
Shelly,8,5.666666667,56
Shelly,9,6.666666667,57
Ben,7,5.666666667,8
Shelly,8,5,58
Shelly,7,6.666666667,59
Ben,8,5,9
Shelly,NA,NA,60
Ben,6,5.666666667,10
Ben,6,1.333333333,11
Ben,7,1.666666667,12
Ben,4,3.666666667,13
Ben,6,4,14
Ben,3,1.666666667,15
Ben,5,2.333333333,16
Ethan,7,4,1
Ben,4,3.666666667,17
Ben,6,3.666666667,18
Ethan,7,4,2
Ethan,10,6.333333333,3
Ethan,5,3.666666667,4
Ben,6,4.666666667,19
Ethan,7,5,5
Ethan,6,3,6
Ben,5,4.333333333,20
Ben,6,2,21
Ethan,7,1,7
Ethan,7,2,8
Ethan,8,1,9
Ethan,4,6,10
Ben,2,1.333333333,22
Ethan,8,1,11
Ethan,6,3,12
Ethan,5,2.666666667,13
Ben,8,2.666666667,23
Ethan,7,3.666666667,14
Ben,7,2,24
Ethan,4,2.333333333,15
Ethan,9,4,16
Ethan,5,4.666666667,17
Ben,7,3.333333333,25
Ethan,2,5.333333333,18
Ben,6,2.333333333,26
Ben,6,3.666666667,27
Ethan,1,1.666666667,19
Ethan,2,1,20
Ben,6,1.666666667,28
Ben,7,2,29
Ethan,4,1,21
Ben,3,2,30
Ethan,6,1.333333333,22
Ben,6,2.333333333,31
Ethan,7,1,23
Ben,7,2,32
Ben,4,3,33
Ben,6,1.666666667,34
Ethan,8,1,24
Ben,7,3.333333333,35
Ethan,10,2.333333333,25
Ethan,7,1,26
Ben,7,1.666666667,36
Ethan,4,2.333333333,27
Ethan,7,1.666666667,28
Ethan,8,3.666666667,29
Ben,7,2.333333333,37
Ethan,6,3,30
Ben,6,1.666666667,38
Ethan,8,5,31
Ben,2,2.333333333,39
Ethan,4,4,32
Ethan,6,5,33
Ben,6,2,40
Ben,4,2.333333333,41
Ethan,3,3.333333333,34
Ben,6,2.333333333,42
Ethan,1,2.333333333,35
Ben,6,2,43
Ethan,6,4,36
Ethan,3,3,37
Ethan,8,4.666666667,38
Ben,6,4,44
Ethan,6,1.333333333,39
Ben,7,3.666666667,45
Ethan,6,5.333333333,40
Ben,5,3,46
Ethan,5,1.666666667,41
Ben,5,2.666666667,47
Ben,6,3.666666667,48
Ethan,7,1.333333333,42
Ethan,7,3,43
Ben,6,1.666666667,49
Ben,5,2,50
Ben,6,2.333333333,51
Ethan,5,3.333333333,44
Ben,6,4,52
Ben,7,3.333333333,53
Ben,6,2.333333333,54
